date,values,variable,senario,metric
2035-05-30,33.44174,TSA,cntl,vhds
2035-05-31,33.385036,TSA,cntl,vhds
2035-06-02,33.023796,TSA,cntl,vhds
2035-06-07,33.083687,TSA,cntl,vhds
2035-06-08,33.18217,TSA,cntl,vhds
2035-06-09,33.561153,TSA,cntl,vhds
2035-06-10,33.094387,TSA,cntl,vhds
2035-06-11,33.17413,TSA,cntl,vhds
2035-06-12,33.1598,TSA,cntl,vhds
2035-06-13,33.018185,TSA,cntl,vhds
2035-06-14,33.244137,TSA,cntl,vhds
2035-06-15,33.55208,TSA,cntl,vhds
2035-06-16,33.372158,TSA,cntl,vhds
2035-06-17,33.249134,TSA,cntl,vhds
2035-06-18,33.74181,TSA,cntl,vhds
2035-06-19,33.917088,TSA,cntl,vhds
2035-06-20,33.862717,TSA,cntl,vhds
2035-06-21,33.889477,TSA,cntl,vhds
2035-06-22,33.588554,TSA,cntl,vhds
2035-06-23,33.775257,TSA,cntl,vhds
2035-06-24,33.791927,TSA,cntl,vhds
2035-06-25,34.596657,TSA,cntl,vhds
2035-06-26,33.888077,TSA,cntl,vhds
2035-06-27,33.144875,TSA,cntl,vhds
2035-06-28,33.432346,TSA,cntl,vhds
2035-06-29,33.475544,TSA,cntl,vhds
2035-06-30,33.95271,TSA,cntl,vhds
2035-07-03,33.048813,TSA,cntl,vhds
2035-07-04,33.534092,TSA,cntl,vhds
2035-07-05,34.79974,TSA,cntl,vhds
2035-07-06,34.504326,TSA,cntl,vhds
2035-07-07,33.39681,TSA,cntl,vhds
2035-07-08,33.55755,TSA,cntl,vhds
2035-07-09,33.89818,TSA,cntl,vhds
2035-07-10,33.827797,TSA,cntl,vhds
2035-07-11,34.17866,TSA,cntl,vhds
2035-07-12,33.962025,TSA,cntl,vhds
2035-07-13,36.59199,TSA,cntl,vhds
2035-07-14,34.056217,TSA,cntl,vhds
2035-07-15,34.240047,TSA,cntl,vhds
2035-07-16,33.261055,TSA,cntl,vhds
2035-07-22,33.087784,TSA,cntl,vhds
2035-07-24,33.161148,TSA,cntl,vhds
2035-07-25,33.318398,TSA,cntl,vhds
2035-07-27,33.321346,TSA,cntl,vhds
2035-07-28,33.6154,TSA,cntl,vhds
2035-07-29,33.04239,TSA,cntl,vhds
2035-07-30,34.046986,TSA,cntl,vhds
2035-07-31,34.010704,TSA,cntl,vhds
2035-08-02,33.653683,TSA,cntl,vhds
2035-08-03,34.072987,TSA,cntl,vhds
2035-08-04,33.687107,TSA,cntl,vhds
2035-08-05,33.39675,TSA,cntl,vhds
2035-08-10,33.762096,TSA,cntl,vhds
2035-08-11,33.94313,TSA,cntl,vhds
2035-08-12,34.289978,TSA,cntl,vhds
2035-08-13,34.42174,TSA,cntl,vhds
2035-08-14,34.89407,TSA,cntl,vhds
2035-08-15,35.699486,TSA,cntl,vhds
2035-08-16,35.52096,TSA,cntl,vhds
2035-08-17,33.420704,TSA,cntl,vhds
2035-09-08,33.28529,TSA,cntl,vhds
2035-09-29,33.443993,TSA,cntl,vhds
2035-10-02,33.546375,TSA,cntl,vhds
2035-10-03,33.153603,TSA,cntl,vhds
2035-10-04,33.228233,TSA,cntl,vhds
2035-10-05,33.753033,TSA,cntl,vhds
2035-10-09,33.24247,TSA,cntl,vhds
2035-10-10,33.284374,TSA,cntl,vhds
2035-10-11,33.25121,TSA,cntl,vhds
2035-10-12,33.29242,TSA,cntl,vhds
2035-10-20,33.21427,TSA,cntl,vhds
2036-05-29,33.558548,TSA,cntl,vhds
2036-05-30,33.77747,TSA,cntl,vhds
2036-05-31,33.419384,TSA,cntl,vhds
2036-06-01,33.12599,TSA,cntl,vhds
2036-06-02,33.91656,TSA,cntl,vhds
2036-06-03,33.938595,TSA,cntl,vhds
2036-06-04,33.864735,TSA,cntl,vhds
2036-06-05,33.457886,TSA,cntl,vhds
2036-06-06,33.105026,TSA,cntl,vhds
2036-06-07,33.208164,TSA,cntl,vhds
2036-06-10,34.281963,TSA,cntl,vhds
2036-07-03,33.072773,TSA,cntl,vhds
2036-07-04,33.407055,TSA,cntl,vhds
2036-07-05,33.18221,TSA,cntl,vhds
2036-07-06,33.463615,TSA,cntl,vhds
2036-07-07,33.720627,TSA,cntl,vhds
2036-07-08,33.668663,TSA,cntl,vhds
2036-07-09,33.497215,TSA,cntl,vhds
2036-07-10,33.374607,TSA,cntl,vhds
