start,end,duration,var
2035-06-07,2035-06-30,24,TSA
2035-07-03,2035-07-16,14,TSA
2035-07-27,2035-07-31,5,TSA
2035-08-02,2035-08-05,4,TSA
2035-08-10,2035-08-17,8,TSA
2035-10-02,2035-10-05,4,TSA
2035-10-09,2035-10-12,4,TSA
2036-05-29,2036-06-07,10,TSA
2036-07-03,2036-07-12,10,TSA
2036-07-17,2036-07-19,3,TSA
2036-07-21,2036-07-25,5,TSA
2036-08-10,2036-08-24,15,TSA
2036-08-26,2036-09-10,16,TSA
2037-06-30,2037-07-02,3,TSA
2037-07-05,2037-07-07,3,TSA
2037-07-12,2037-07-14,3,TSA
2037-07-16,2037-08-20,36,TSA
2037-09-03,2037-09-06,4,TSA
2037-09-10,2037-09-12,3,TSA
2038-06-23,2038-07-05,13,TSA
2038-07-07,2038-07-17,11,TSA
2038-07-26,2038-07-28,3,TSA
2038-07-30,2038-08-14,16,TSA
2038-08-16,2038-08-22,7,TSA
2038-08-24,2038-08-26,3,TSA
2038-08-28,2038-08-31,4,TSA
2038-10-02,2038-10-04,3,TSA
2039-05-25,2039-05-27,3,TSA
2039-06-29,2039-07-07,9,TSA
2039-07-11,2039-07-21,11,TSA
2039-07-23,2039-07-25,3,TSA
2039-08-04,2039-08-09,6,TSA
2039-08-11,2039-09-02,23,TSA
2039-09-08,2039-09-12,5,TSA
2039-09-17,2039-09-19,3,TSA
2035-05-11,2035-05-13,3,TSA_U
2035-05-17,2035-05-19,3,TSA_U
2035-05-26,2035-07-16,52,TSA_U
2035-07-24,2035-08-17,25,TSA_U
2035-08-21,2035-09-04,15,TSA_U
2035-09-06,2035-09-09,4,TSA_U
2035-09-11,2035-09-26,16,TSA_U
2035-09-28,2035-10-21,24,TSA_U
2035-10-24,2035-10-26,3,TSA_U
2036-04-29,2036-05-01,3,TSA_U
2036-05-23,2036-05-25,3,TSA_U
2036-05-28,2036-06-07,11,TSA_U
2036-06-18,2036-07-01,14,TSA_U
2036-07-03,2036-07-13,11,TSA_U
2036-07-15,2036-08-24,41,TSA_U
2036-08-26,2036-09-19,25,TSA_U
2036-09-21,2036-09-29,9,TSA_U
2036-10-04,2036-10-10,7,TSA_U
2037-06-02,2037-06-27,26,TSA_U
2037-06-29,2037-08-23,56,TSA_U
2037-08-25,2037-09-06,13,TSA_U
2037-09-09,2037-09-15,7,TSA_U
2037-09-18,2037-09-22,5,TSA_U
2037-09-28,2037-10-01,4,TSA_U
2038-04-20,2038-04-22,3,TSA_U
2038-04-28,2038-04-30,3,TSA_U
2038-05-25,2038-06-02,9,TSA_U
2038-06-12,2038-07-05,24,TSA_U
2038-07-07,2038-07-24,18,TSA_U
2038-07-26,2038-08-31,37,TSA_U
2038-09-02,2038-09-11,10,TSA_U
2038-09-14,2038-09-18,5,TSA_U
2038-09-20,2038-10-04,15,TSA_U
2039-05-14,2039-05-16,3,TSA_U
2039-05-22,2039-05-30,9,TSA_U
2039-06-01,2039-06-03,3,TSA_U
2039-06-06,2039-09-03,90,TSA_U
2039-09-07,2039-09-19,13,TSA_U
2035-06-18,2035-06-26,9,TSA_R
2035-07-04,2035-07-15,12,TSA_R
2035-08-02,2035-08-05,4,TSA_R
2035-08-10,2035-08-17,8,TSA_R
2036-05-29,2036-05-31,3,TSA_R
2036-06-02,2036-06-05,4,TSA_R
2036-07-06,2036-07-11,6,TSA_R
2036-07-17,2036-07-19,3,TSA_R
2036-07-21,2036-07-25,5,TSA_R
2036-08-10,2036-08-24,15,TSA_R
2036-08-26,2036-09-05,11,TSA_R
2037-07-17,2037-08-19,34,TSA_R
2037-09-04,2037-09-06,3,TSA_R
2038-06-24,2038-06-28,5,TSA_R
2038-06-30,2038-07-05,6,TSA_R
2038-07-08,2038-07-12,5,TSA_R
2038-07-15,2038-07-17,3,TSA_R
2038-07-26,2038-07-28,3,TSA_R
2038-07-30,2038-08-14,16,TSA_R
2038-08-16,2038-08-22,7,TSA_R
2038-08-24,2038-08-26,3,TSA_R
2038-08-28,2038-08-31,4,TSA_R
2038-10-02,2038-10-04,3,TSA_R
2039-06-30,2039-07-07,8,TSA_R
2039-07-14,2039-07-21,8,TSA_R
2039-08-04,2039-08-09,6,TSA_R
2039-08-11,2039-08-22,12,TSA_R
2039-08-24,2039-08-29,6,TSA_R
2039-08-31,2039-09-02,3,TSA_R
2039-09-17,2039-09-19,3,TSA_R
