start,end,duration,var
2036-08-11,2036-08-16,6,TSA
2038-08-10,2038-08-14,5,TSA
2038-08-16,2038-08-18,3,TSA
2038-08-24,2038-08-26,3,TSA
2035-06-07,2035-06-30,24,TSA_U
2035-07-04,2035-07-16,13,TSA_U
2035-08-02,2035-08-04,3,TSA_U
2035-08-10,2035-08-17,8,TSA_U
2035-10-02,2035-10-06,5,TSA_U
2035-10-09,2035-10-12,4,TSA_U
2036-05-29,2036-05-31,3,TSA_U
2036-06-02,2036-06-05,4,TSA_U
2036-07-04,2036-07-12,9,TSA_U
2036-07-17,2036-07-19,3,TSA_U
2036-07-21,2036-07-25,5,TSA_U
2036-08-10,2036-08-24,15,TSA_U
2036-08-28,2036-09-05,9,TSA_U
2037-07-05,2037-07-07,3,TSA_U
2037-07-12,2037-07-14,3,TSA_U
2037-07-16,2037-08-19,35,TSA_U
2038-06-24,2038-07-05,12,TSA_U
2038-07-08,2038-07-13,6,TSA_U
2038-07-15,2038-07-17,3,TSA_U
2038-07-30,2038-08-14,16,TSA_U
2038-08-16,2038-08-22,7,TSA_U
2038-08-24,2038-08-26,3,TSA_U
2038-08-28,2038-08-31,4,TSA_U
2038-10-02,2038-10-04,3,TSA_U
2039-06-29,2039-07-07,9,TSA_U
2039-07-11,2039-07-21,11,TSA_U
2039-08-04,2039-08-09,6,TSA_U
2039-08-12,2039-08-21,10,TSA_U
2039-08-24,2039-08-29,6,TSA_U
2039-09-17,2039-09-19,3,TSA_U
2036-08-12,2036-08-15,4,TSA_R
2038-08-11,2038-08-13,3,TSA_R
2038-08-16,2038-08-18,3,TSA_R
2038-08-24,2038-08-26,3,TSA_R
